Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2043518,2043518,Unclassified,1870,Fe 51.23%;  Al 20.46%;  Si 18.66%;  O 9.66%;  C 0%;,0.00,1.09,211.36
2043522,2043522,Quartz,3752,Si 51.91%;  O 48.09%;,0.00,1.10,4342.30
2043525,2043525,Chlorite,2961,O 46.51%;  Mg 25.06%;  Si 17.11%;  Fe 5.42%;  Al 4.94%;  Zn 0.96%;  C 0%;,0.00,1.28,1867.70
2043526,2043526,Chlorite Fe-rich,2830,O 38.69%;  Fe 34.23%;  Si 16.37%;  Al 6.1%;  Ni 4.61%;  C 0%;,0.00,1.08,54.78
2043527,2043527,Smectite Fe-rich,2477,O 39.25%;  Fe 30.24%;  Si 19.31%;  Ni 8.11%;  Al 3.09%;  C 0%;,0.00,1.04,52.62
2043532,2043532,Quartz,3803,O 51.91%;  Si 48.09%;  C 0%;,0.44,1.24,3383.86
2043534,2043534,Serpentine,2900,O 48.08%;  Mg 28.4%;  Si 21.66%;  Fe 1.85%;  C 0%;,0.00,1.18,4169.76
2043538,2043538,Quartz,3649,Si 50.14%;  O 49.86%;,0.00,1.08,59.09
2043540,2043540,Chlorite,3034,O 51.9%;  Mg 23.78%;  Si 16.3%;  Al 8.02%;,0.00,1.12,5769.60
2043542,2043542,Goethite,2671,Fe 61.79%;  O 25.52%;  Si 9.24%;  Mg 3.45%;  C 0%;,8.64,4.02,6005.11
2043543,2043543,Goethite + Si,2667,Fe 53.97%;  O 34.56%;  Si 10.44%;  Al 1.03%;  C 0%;,0.00,1.06,12.08
2043544,2043544,Unclassified,2338,Fe 70.88%;  O 19.46%;  Si 9.66%;  C 0%;,0.00,1.41,430.05
2043545,2043545,Goethite + Si,2892,Fe 51.46%;  O 32.2%;  Si 14.24%;  Al 2.1%;  C 0%;,0.00,1.06,5.18
2043546,2043546,Hematite,3346,Fe 65.39%;  O 33.29%;  Si 1.31%;  C 0%;,0.00,1.18,95.33
2043547,2043547,Goethite + Si,2800,Fe 51.63%;  O 33.09%;  Si 11.87%;  Al 3.41%;  C 0%;,0.00,1.06,15.10
2043548,2043548,Goethite + Si,2566,Fe 45.18%;  O 34.46%;  Si 17.46%;  Al 1.84%;  V 1.07%;  C 0%;,0.00,1.37,570.23
2043549,2043549,Goethite + Si,2771,Fe 41.89%;  O 39.64%;  Si 16.82%;  Al 1.65%;  C 0%;,0.00,1.10,9.49
2043550,2043550,Goethite + Si,2561,Fe 55.82%;  O 32.25%;  Si 11.93%;  C 0%;,0.00,1.07,4.74
2043551,2043551,Qz/Gth,2415,Fe 56.23%;  Si 21.13%;  O 20.57%;  Al 2.08%;  C 0%;,0.00,1.08,57.37
2043552,2043552,Goethite,2570,Fe 61.03%;  O 28.8%;  Si 8.6%;  Al 1.58%;  C 0%;,0.00,1.28,21.14
2043553,2043553,Goethite + Si,2379,Fe 54.2%;  O 29.98%;  Si 14%;  Al 1.81%;  C 0%;,0.00,1.16,7.76
2043554,2043554,Goethite + Si,2296,Fe 46.49%;  O 32.63%;  Si 17.94%;  Al 2.94%;  C 0%;,0.00,1.11,18.55
2043555,2043555,Goethite + Si,1833,Fe 43.39%;  O 37.41%;  Si 15.46%;  Al 3.74%;  C 0%;,0.00,1.12,34.08
