Grain ID,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
493,9515,Fe 71.76%;  O 28.24%;  C 0%;,0,1.1,51362.67
544,8113,Fe 70.31%;  O 24.78%;  Al 3.12%;  Si 1.79%;  C 0%;,0,1.38,781.06
546,8784,Fe 67.55%;  O 25.34%;  Al 3.01%;  Zn 2.59%;  Na 1.52%;  C 0%;,0,1.11,525.9
548,9338,Fe 70.18%;  O 27.82%;  Al 1.22%;  Si 0.78%;  C 0%;,0,1.1,6106.26
550,9265,Fe 70.05%;  O 27.47%;  Al 2.32%;  Nb 0.17%;  C 0%;,6.97,1.13,32375.82
551,6635,Fe 84.01%;  O 14.47%;  Al 1.52%;  C 0%;,0,1.39,853.12
552,8926,Fe 71.26%;  O 26.72%;  Al 2.02%;  C 0%;,0,1.21,323.33
554,8892,Fe 63.22%;  O 30.92%;  Al 3.2%;  Si 1.6%;  Ti 1.07%;  C 0%;,0,1.11,313.59
556,10033,Fe 75.51%;  O 24.49%;  C 0%;,0,1.38,12878.65
558,9914,Fe 75.73%;  O 24.27%;  C 0%;,0.2,1.19,84698.74
560,6613,O 42.31%;  Al 23.67%;  Si 19.23%;  Fe 13.61%;  Ti 1.18%;  C 0%;,0,1.24,837.54
561,8504,Fe 64.3%;  O 35.7%;  C 0%;,0.34,1.48,12052.79
562,6066,O 43.57%;  Al 25.37%;  Si 22.79%;  Fe 8.27%;  C 0%;,1.29,1.24,1193.98
564,8092,Fe 67.26%;  O 27.14%;  Al 5%;  Si 0.6%;  C 0%;,1.07,2.37,2689.87
565,8964,Fe 61.38%;  O 30.96%;  Al 4.38%;  Si 3.28%;  C 0%;,0,1.06,196.72
566,9223,Fe 62.81%;  O 30.49%;  Al 4%;  Si 2.7%;  C 0%;,2.13,1.89,18205.8
567,8036,Fe 53.5%;  O 33.89%;  Al 7.64%;  Si 4.97%;  C 0%;,6.63,1.37,1014.79
568,7329,Fe 38.64%;  O 36.62%;  Al 14.65%;  Si 10.1%;  C 0%;,0,1.05,301.9
