Grain ID,Spectrum Counts,Porosity,Roughness,Area µm²,Fe,O,Al,Si,C,Ti,V,Mn,Ce,P,La,Nd,Na,Zr,Bi,Sr,Au,Cl,As,Sn,Mg,Zn,Nb,Sb,U,Y,S,Eu,Pd,Cr,K,Ca,Yb,F,Sc,Cd,Ba,Dy,Pt,Pb,Ta,Th,Pr,Hf,Pm,Cu
556,10033,0,1.38,12878.65,75.51,24.49,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,9914,0.2,1.19,84698.74,75.73,24.27,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,6613,0,1.24,837.54,13.61,42.31,23.67,19.23,0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,8504,0.34,1.48,12052.79,64.3,35.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,6066,1.29,1.24,1193.98,8.27,43.57,25.37,22.79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,8092,1.07,2.37,2689.87,67.26,27.14,5,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,8964,0,1.06,196.72,61.38,30.96,4.38,3.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,9223,2.13,1.89,18205.8,62.81,30.49,4,2.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,8036,6.63,1.37,1014.79,53.5,33.89,7.64,4.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,7329,0,1.05,301.9,38.64,36.62,14.65,10.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,9151,0.2,1.11,41487.48,27.83,33.86,,,0,38.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,8821,0,1.09,17070.25,31.38,27.51,0.84,,0,40.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,8201,0.36,1.62,6408.16,42.44,39.39,8.92,5.64,0,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,9400,0.49,1.86,25905.33,71.4,26.76,0.87,,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,7541,5.65,3.45,7389.84,22.75,43.92,17.25,15.56,0,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
608,8773,1.67,1.37,6199.75,69.61,27.15,1.34,,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,10356,0.08,1.42,12785.16,,49.71,,49.27,0,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,
610,9217,0.17,1.41,13626.59,71.25,23.05,,,0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,8948,0,1.11,843.38,39.73,34.65,0.73,,0,24.17,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,6710,0,1.13,33.11,30.77,28.01,,0.73,0,37.74,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,9708,0,1.07,2697.66,71.28,27.78,0.94,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,9607,0,1.23,446.04,1.36,42.42,,,0,56.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,9575,1.99,2.19,93011.81,74.69,25.31,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,9343,0.21,1.35,8167,6.98,40.34,,,0,52.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,9461,0,1.26,2212.67,70.34,28.51,1.14,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,5763,0,1.1,335.02,81.64,17.46,0.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,8844,3.67,2.13,30110.56,64.65,35.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,9921,0,1.12,35435.76,74.52,25.48,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,9765,0.18,1.16,33799.64,74.59,24.82,0.59,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,9603,0,1.13,20506.11,76.85,23.15,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
